"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.295",10.0178893797576,8.1632140306331,10.97154826343,10.452667150605,11.4013873988631,11.8007546923427,13.6379445521218,16.0191773526775,16.5237388741075,16.7758299813716,18.3044183494563,19.198034340471
"b=0.3",10.1447448680514,8.03307764189131,11.0151380811759,10.4206583708568,11.4264815431096,11.7546225395454,13.792120314219,16.1127203073628,17.1777415340669,17.2919879361922,18.1553058429633,18.9208550128503
"b=0.305",10.3126339692907,7.97882629755397,11.1736994145382,10.3446317903025,11.7220242089858,11.9190087463928,13.8312925820637,15.5532249621595,17.8505754816184,17.9165017396075,18.7063045574308,18.8892027101894
"b=0.31",10.5114737824658,7.99080040605534,11.2990590020769,10.2205094299736,12.1481388614726,12.0069698912596,13.9869461685247,15.3913367915021,18.4566908851983,18.1531421617671,19.2346061651111,18.7818005472248
"b=0.315",10.6197779293572,8.22553934005356,11.3073524860271,10.3781919401923,12.2949721174724,12.0075124946288,13.9652011728015,15.5546620897115,18.7620696630449,18.6415307691628,19.1886686992045,19.2102388423255
"b=0.32",10.7360019778599,8.424775829252,11.2433912291107,10.546201200217,12.5198395617559,12.1844444720372,14.1682630401196,16.1558696187934,18.9463042529099,19.8570845863165,20.5331910283422,20.1259781336646
"b=0.325",10.9009039006843,8.54515987824756,11.281594486687,10.6626167694415,12.5543089270663,12.4665624523858,14.5413180467953,16.9133043262308,19.0445155023282,20.6314556747866,21.4593793427646,21.3300364295432
"b=0.33",11.0913455106174,8.65869632473163,11.3826672166203,10.8067446519647,12.7109635811502,12.8471754631136,15.2221991292598,17.4148564124657,19.6175681792595,20.4005598284532,21.4798341632584,21.507714751295
"b=0.335",11.3920025261623,8.82141540897713,11.4009285932173,10.9095288469852,12.8446133518247,13.0640825968351,16.0787775462088,17.4849990739949,20.1420754982693,20.1658246264755,22.2169433660075,22.2376240959144
"b=0.34",11.7032517101713,9.00037137753235,11.2804276868314,11.0589779205531,12.7894101413856,13.1221972439974,16.288584746236,17.2526755402723,20.5610414835696,20.476463902304,22.1899923694616,21.6123338890981
"b=0.345",12.0855781337039,9.26252450035781,11.3477665110826,11.0865178335138,12.9494125758043,13.081365773446,16.6356730549806,17.4684988268099,21.1033305663595,20.5720099682922,21.7994607074022,21.2500312566305
